,city,street,housenumber,lon,lat
451,москва,профсоюзная улица,154к4,37.50172403333333,55.62285501666667
452,москва,профсоюзная улица,154,37.504511925,55.621289591666674
455,москва,профсоюзная улица,156к1,37.49912115454545,55.61695155454545
465,москва,профсоюзная улица,154к7,37.49898958461539,55.62392323076922
477,москва,профсоюзная улица,154к6,37.499903933333336,55.62338468888888
480,москва,профсоюзная улица,130а,37.51303769,55.6311906
481,москва,профсоюзная улица,130б,37.5115442,55.63175748000001
482,москва,профсоюзная улица,136к1,37.512911575,55.628394
483,москва,профсоюзная улица,128к1,37.515693000000006,55.63087036666667
490,москва,лавочкина улица,44к1,37.490199180000005,55.86077636
491,москва,лавочкина улица,44к2,37.49133582,55.86156026
492,москва,лавочкина улица,46к1,37.4885158,55.8613519
493,москва,лавочкина улица,48к1,37.48932434,55.86234571999999
494,москва,фестивальная улица,8с1,37.491926680000006,55.85876019999999
495,москва,лавочкина улица,46к2,37.48782024444444,55.862023722222226
496,москва,лавочкина улица,50к2,37.48720779999999,55.86361363333333
497,москва,лавочкина улица,54к2,37.48657922222222,55.86531048888889
498,москва,петрозаводская улица,24ас1,37.493263,55.867572844444446
499,москва,лавочкина улица,50к1,37.4875884,55.86288936
500,москва,фестивальная улица,4к2,37.48647555555555,55.85674045555556
501,москва,левобережная улица,12к1,37.471450219999994,55.878431539999994
502,москва,прибрежный проезд,7,37.4648604,55.874661960000005
503,москва,фестивальная улица,53к1,37.49389764,55.8612274
504,москва,фестивальная улица,53к6,37.49497996,55.8612663
505,москва,фестивальная улица,55,37.49642484,55.86096692
506,москва,фестивальная улица,57,37.4963101,55.86131412
507,москва,фестивальная улица,53к4,37.49325481999999,55.86284085999999
508,москва,фестивальная улица,59к4,37.49436906,55.86290566
509,москва,фестивальная улица,59к2,37.495871,55.86255867999999
510,москва,фестивальная улица,59к3,37.49575522,55.86290222
511,москва,фестивальная улица,53к2,37.49324961999999,55.86200202000001
512,москва,фестивальная улица,53к3,37.492212460000005,55.862479099999995
513,москва,лавочкина улица,48к2,37.49092571999999,55.86309931999999
514,москва,фестивальная улица,59к1,37.49579262,55.86175046
515,москва,петрозаводская улица,5к4,37.49517362,55.86338508
516,москва,лавочкина улица,52,37.48881536,55.86399329999999
517,москва,фестивальная улица,61,37.49741754,55.86201896
518,москва,петрозаводская улица,5к3,37.496821440000005,55.86364530000001
519,москва,петрозаводская улица,15к3,37.49276484,55.8634844
520,москва,лавочкина улица,48к3,37.49166504,55.864065319999995
521,москва,новая улица,1,37.50903192857144,55.87323725714284
522,москва,новая улица,3,37.509837504761904,55.87388368571429
523,москва,новая улица,5,37.51057457619047,55.8745508952381
524,москва,ангарская улица,3,37.51132532,55.8716464
525,москва,талдомская улица,1,37.51297684285714,55.86992691428571
526,москва,ангарская улица,2к2,37.51206884,55.87026834
527,москва,лавочкина улица,32,37.49531723333333,55.85569606666667
528,москва,лавочкина улица,52а,37.49035463333333,55.863968811111114
529,москва,смольная улица,29,37.484058033333326,55.858661722222216
530,москва,смольная улица,31,37.48315788888888,55.85942655555555
531,москва,смольная улица,33,37.48224968,55.86024208
532,москва,фестивальная улица,53к5,37.493957111111115,55.86233386666666
533,москва,фестивальная улица,51к1,37.49365545714286,55.86047287142857
534,москва,фестивальная улица,61а,37.497763955555556,55.86124085555555
535,москва,петрозаводская улица,21,37.488311280000005,55.86567486
536,москва,лавочкина улица,54к1,37.4871237,55.8645685
537,москва,лавочкина улица,56/23,37.48662728,55.8662517
538,москва,петрозаводская улица,15к1,37.49206216,55.865283440000006
539,москва,петрозаводская улица,17к1,37.49099912,55.86579428
540,москва,петрозаводская улица,17к2,37.49017834,55.864805739999994
541,москва,петрозаводская улица,9к2,37.49452424,55.86500704
542,москва,петрозаводская улица,9к1,37.49618208,55.86526854
543,москва,петрозаводская улица,15к2,37.49271452000001,55.86447356
544,москва,петрозаводская улица,15к4,37.493661499999995,55.86453628
545,москва,петрозаводская улица,9к4,37.49516062,55.8642261
546,москва,петрозаводская улица,9к3,37.4950358,55.86456368
547,москва,фестивальная улица,4к3,37.486130884615385,55.85589684615385
548,москва,петрозаводская улица,19а,37.48972357419353,55.8662127483871
549,москва,смольная улица,22,37.48449167272727,55.859682727272734
550,москва,мусоргского улица,15,37.62679193636364,55.86446834545454
551,москва,юрловский проезд,1,37.62650330909091,55.86496668181817
552,москва,юрловский проезд,5,37.6256647,55.86545746
553,москва,юрловский проезд,7,37.62467955882354,55.86560265294119
554,москва,юрловский проезд,9,37.62220436,55.866496940000005
555,москва,юрловский проезд,11,37.62355736800001,55.867275844
556,москва,юрловский проезд,13а,37.62171752,55.8677359
558,москва,северный бульвар,12,37.61880522,55.86827948
561,москва,мусоргского улица,11,37.6237129,55.86389656
565,москва,северный бульвар,12б,37.62013816,55.867555319999994
566,москва,пестеля улица,8а,37.61548106,55.86660096000001
567,москва,пестеля улица,8,37.6143597,55.86633642
568,москва,северный бульвар,8,37.61498003333333,55.867709133333335
581,москва,юрловский проезд,7а,37.623436866666665,55.865790466666674
596,москва,декабристов улица,17,37.604994638461534,55.86490216923077
597,москва,декабристов улица,15,37.60332002857143,55.86551907142858
598,москва,декабристов улица,12,37.60207969166667,55.86338454166667
601,москва,северный бульвар,10,37.61673817142857,55.86799407142858
610,москва,декабристов улица,28к2,37.61608615555557,55.860101400000005
612,москва,декабристов улица,38,37.61656178571428,55.85937839999999
620,москва,расковой улица,9,37.5723789,55.788450222222224
621,москва,расковой улица,7,37.57188553333334,55.7880868
622,москва,расковой улица,5,37.57152596666666,55.78781401111111
623,москва,расковой улица,3,37.571028,55.7874497
624,москва,смольная улица,63б,37.46971139090909,55.870131527272726
625,москва,смольная улица,63бк1,37.46924713333333,55.86917118333333
626,москва,ленинградское шоссе,112/1к1,37.46652915714286,55.86362104285714
627,москва,ленинградское шоссе,112к2,37.46636785333333,55.864243426666675
628,москва,ленинградское шоссе,112к3,37.4659944,55.86478642666667
635,москва,привольная улица,70к2,37.855688400000005,55.677189728571435
641,москва,петровско-разумовская аллея,12а,37.5594903125,55.79428954375
642,москва,волоколамское шоссе,14,37.49393066999999,55.80970355333333
643,москва,волоколамское шоссе,10,37.497689945454546,55.809017890909104
653,москва,демьяна бедного улица,18к1с1,37.488740725,55.77750903333333
657,москва,авиаконструктора миля улица,24,37.857685765384616,55.6786342346154
658,москва,генерала кузнецова улица,27к2,37.85404325833334,55.680968525
662,москва,фадеева улица,4,37.59953487,55.77449696
709,москва,барвихинская улица,8к2,37.3890335,55.71679098
710,москва,барвихинская улица,8,37.387753422222225,55.71679565555556
711,москва,барвихинская улица,10,37.38711393846154,55.71803663076923
712,москва,барвихинская улица,14,37.38851196666666,55.7183826095238
713,москва,барвихинская улица,12,37.38900153809523,55.71741646190478
714,москва,барвихинская улица,4к2,37.39102465172414,55.7161934448276
715,москва,барвихинская улица,4к1,37.39243486206896,55.7160243862069
717,москва,говорова улица,11к1,37.3902077,55.71771274
718,москва,говорова улица,5,37.391444459999995,55.71711283999999
719,москва,говорова улица,3,37.3936882,55.71731952
720,москва,говорова улица,1,37.39614408,55.71695841999999
721,москва,барвихинская улица,16к2,37.387510160000005,55.719074160000005
722,москва,барвихинская улица,18,37.3892652,55.719482240000005
723,москва,говорова улица,15,37.39108682,55.71875561999999
724,москва,барвихинская улица,16к3,37.38768063333333,55.7196369952381
725,москва,барвихинская улица,16к1,37.3882534,55.71996073333333
728,москва,барвихинская улица,20,37.3901472,55.71978634
730,москва,барвихинская улица,22,37.39101696,55.72009126
731,москва,барвихинская улица,24,37.39201622,55.720433
732,москва,говорова улица,9,37.3915041090909,55.71801588181818
733,москва,говорова улица,13,37.39346856363636,55.718999554545455
734,москва,говорова улица,7,37.394154369230776,55.71832389230769
736,москва,толбухина улица,3к2,37.39905534615384,55.71810339230769
739,москва,беловежская улица,21,37.39254502000001,55.71224593999999
740,москва,беловежская улица,19,37.39451912,55.71379058
